stt,mat_khau,ma_pin,source_file,data_type,username,password_raw,pin_raw,salt,password_hash,pin_encrypted,is_secure,sensitivity_level,chosen_algorithm
1,ThwXZO1R1dQebsDAjvRb1fy/tp12NVSAiSh3GuRil5VMe/Iu/ukLBJgM95TITE4tcgIkoMumFi5fhMbKQBbdRX/RRRlYqfG+JE5Pp0KMeRijbRfO3Rf6dqPI7AHpBOfccmQUsV+BoQs5khlOp4k9Xzr9wluM2iUvtCyoseO3QIxbySMV5wuuAmMONlWMMUApZ83PCqqwjAQP2NKzfQ0TSbnDCyKLD3VoOs5Ntp/Gi5+F9hhm78UM8iLPPSKXKNH0rKtMg33zQCR1FxLJX82nOLScgGNWJlrWSI8u38EvlzhExVGaYy5T0lX2P2MiRfDWoWy98FXPHQ0sl58lF6lrCg==|a3rGDnbAAftQixp8ovnRLQ==|vz74r04g5PoGcPDpMVtYpA==|pz6T+98GbG0lUMfKPyRGEw==,s2nLlW/L4y/qcOYMUkD6iY/1hb7tGbdRf9qFFenha2tHqgj7uWR2AhqIBkEMaGHRux7F70DCAsGayDMizNQ6aGVWf/G+6kR3HhKfTpGOMN+eXQUjeWOIV4IMPZ2VVx/pA1XIHrwqLf18CbQV2kyJRlfFAo18VTcBVRd88JhTKvhSy2r5S33vBWh+n+bbW7Ni9znKXaohJdA1gDbaeTtyljfBOFqpyWSQ6d4LJhO8THJjZqbNlqCj1OfzxKzMMfFeXYTpXj28sd0/ujPbitiubqY405vpPdl+lBAWpLjjBtffYZOSjrhiYnRei4YPF4Ny0/wnRZrKAEUDbd5q/m6Y2Q==|vFgiB0QNB8RndcQ5zKYR4Q==|oPPj8hte|VQBGVV5uE1b50FAjYmEu9A==,credentials_20260926_101101.csv,"CREDENTIALS, FINANCIAL_PIN",,REDACTED,REDACTED,,,,True,3,HYBRID_AES_RSA
2,lti2QXWlvkskpjYRZXJK2dXevRF+WZSO8izq/vayxiEebW0DacfrXWYT9EJ99Uut1/7b2rGDRLU42xUlXeJ6UAJrw868ZA3RinrPVPQJJiGz0nZTgLie+2oB63If8H27UKfw1aJXtYgP7Jab2mvTVZaI0QlAJ7BfU6eDg4ciOyRuQGWyVZe8jgn59hIQiIqUZeoRovm9ofNbNCIiYLf3TN8OfJN352h3T1DZh9qrMs81zjXMJKdcnZ5b/spCpNlmBQbMt4IhGN3kKwzjYV1d/yo09cPguE+VNwGbSaA7rGc2QxHRbtjhAFUeu/iMqDHylKwvmqHUm3WL4Kr7W0gbeg==|VtbT5wj3VgksyqKa8C4eng==|7APAUMzN7uTftIy84v1Za5BS|BCmtUr9+xYwCWCbllJQoMA==,T6lquJJuv1CxLauUj22ROAeLSlXMff1i3liuBJR++yCVmRMDRo3zgSK8ZTuPPNFKqucXrVUNQ+d3AXDJyV6rt/ZeDaomz+j03osdBGCyumWA0s7ldYTuLZxRdQQ1WvGTM4mj9/NY11QBvFr25DoByOAthqo7DULSApzyRrWGhKPzJI0GM6o8mjInmT9USIJz7jGquzcKnurEwJiFESBnIRBqCV2I4RLKwgZ87dP3hVNdxlGka9x9iIBD6by+oMi9FbLR7qM51bEt4rfL9wirvcQHSK2kQlKmZYw3VvI/XvYKhbqjTm9O+vR9Bn6ijvMO5z51OeZZ8VTZ7dC4ueen9Q==|rXSOSnUxV0vLmN22NZ9aYQ==|OBmyqw==|SBQSA8dIZ6rE+YLFaKz8XA==,credentials_20260926_101101.csv,"CREDENTIALS, FINANCIAL_PIN",,REDACTED,REDACTED,,,,True,3,HYBRID_AES_RSA
3,ob0LPYhCTtbFFnL5CqGNcarE+bwytlc4xnTYpN8pR/RkkA2HZ//EtmM4Bvy/8DzDyevQp148CFpFdIXtqi0659SWBRVzXsqj7hcv6vXgqFlWVTS7Yvbi07u7ncdc58v1IZK0NoQMAeBEvhkGACppLcGdzVtSOHF/VIOxVsk2CXi0yRRpgXx03sKovrYskkGrdbq1uIfQPBD1ARMjZbshbnW51WrC/aK0QBTQYE/kztNEw4hed2TEJ4QNHRsgPxyaV+6XVlvh+UoBiYkWUAdgYJUgvYgSu03RNykr8oBWw7EjzPoRZsNQI00DrFPxGHj3F/mJNw+aiL+Wc3P+Uyd/gA==|AKYa3viKlIEYegHkCGN3gg==|q7Gyqxw6dT3473vaepj1Zwc=|14GH2UF6vN5TYr8O6HrDEw==,Qu3c3Djnt2+VKVXqNbl8fzcVYCQp8avN+yZ7meB/JwrMdJIIk3tS/3+a1a7UCkLI7Jd2gMzXuJhPC09vjGeAxuU8qT5WUneMdU5rPgqSzOXQSPN+Y1mQM2zh0eQddslh/zg9cYZ3/rtKtMOSFw0p5ebOTjCJCFlcbaiDoROmaXyGr4fQJrSmZ7sQCP2mwXBVbchcYCVhPnEyKCUzfIz+neWqXcZmW7bghwTYdSJhtsEqCyAY3LR2TaoFVyxpot/XvNIoA9gU2FOXfYAlsweInYfHE3pIYGM4dUGktSt2hCbVC43Oz6BZvIF5FnmyJmKd6M1xT7kIIgmNIzB/xWUMDw==|Qskl1DGqeBzx/5LX/5k1WA==|d56A4g==|i+cMd8i6WgHzis3O1YY+xA==,credentials_20260926_101101.csv,"CREDENTIALS, FINANCIAL_PIN",,REDACTED,REDACTED,,,,True,3,HYBRID_AES_RSA
4,dgA04+VdjqN+EfjjSUpvu8yVBYgxlhu1HlzjA8x1v0U6kSIUBtCGRNm4FFJitjcL7fWYmkYvJhbmvux3yGZl6IEJt9Q7r6sf2dAVrYBCN4K6tEKzPuHJuQLyh3eHIm2pxwXzGzpGeR53ruKYVNjFtcRpn9D+0WtpauWKjgYL1SyKyLpR9aUsbNjX/z+H348eVPcd8Fhw8OAES/+5arCX7pgPBV6OUv4hmGiEdsdMHwOiBIfK4Ljc+cVKYp7u4KifGeXi6vzpzq7oLzaqUQlXPKUuvbLM7cdvYWRdcphZ+fl+OpJdl4YfawuK7gE2UwgG/j869tNgLwsteF8fDTthbw==|aZytRuHQEb6+rvm+6qIaXw==|0Su1zAL+oTBREJKak7ZPRmhQcQ==|BeVv+CMaxhaiuwwmrhch+Q==,GuE8AK97ojZq91Ui8Ln9mLlykl+n1lSIGAhX74u7BLobuqzpC6Rayjovw0UDtEWZhqhu1k4Yi+94g1fLNt3YGmH582ufzQRODbe9HOVvHJ7dpwHoNPwc9Ep5f/IZt8FySZZAK/rIKjw0VkZMByRvS/cO63i/M14gq/OubmmnUoV7OkkJnVsEbargez5Iyw+FfAbrUz2Vwu69BvpLKchGeMwVLVVrujEmI5FOMQ0vBZngeCdessTTyiDeTUZPGZhBTFo+m2nVHclixJmqPwUA5CXB3b4bFj8gqKZzR82QcuDynVrtZOOYALrvj2oMmz41d05t/hJZuENOnvwxNG1l3A==|7hSHPpHXNWuVkWlM28JNAw==|b8ucYlGV|srwzC/16YuXKH9MwYOJHfg==,credentials_20260926_101101.csv,"CREDENTIALS, FINANCIAL_PIN",,REDACTED,REDACTED,,,,True,3,HYBRID_AES_RSA
5,cDim6qzD+Fr7Rv26EukJAPfKz5FMY7T6fGubYIcOZfdgywXqH5RFlN/N5bZtOVis95dvg+yLQ0uXfcrumHHmf4gLcsE9MK67FXUPWkaZwsUkj5JE3jPbKeuhc5artmGdqInJ1y6DC6x75uhTp4ZCVq7okzT7SldHnMoNRMRQhYlSBXZWcNeCjEKx86fg/dC3z2ViW4Fr32HdMa4dIyYDBAiS4XrXXeLX+n0eySqDtpp84HVQZyCws3+m2/VavbS/R73lrEdL+wZOzbGYrrJzsgrCNT7WLhgLriGjEvve4YaL3QogWKsh65yeOxQIhC8GNf8A6vTdYjsEPo2bo2MwFQ==|yI1a8kgfycLI9OOj7+1IUw==|5u7DW1hHnAp50oOa6OYo6Aqh|LIW0hH/IPclv9+++AKjWsQ==,lgta9i7WxBN4GTrmZWg9a/r2Gp8k+GkUi1sYvRGWbY9YQl8T+p8rjk+Hy9elNj/Iddl6HXgQS8s5JuDfzN2yQGsAw838P3CRYvscBzhS4PvcZ7FND1Bm+KGDrnFTnUR1NjWN9cs/+lOb+FArVwD4ex8rpBGbpv0NH+dpQhk+6+glOrrVDZkXsMP+a4cOTB9wW/qIffLwortZ7Rs8D96Lb+5hwiKL9YJ3JMpzYvH2Memf/wLQgshWxlmBPNLeCPcBJHLGbRSW6l5FsdnmR5Jvr6wFiZxtJqNlHlDDcRetQvk98pvdbl3I7dRBYFcJKRZhz6DEASblEABxT3fY6yusIg==|asJMQftZsNZGfKjTOhai8g==|qt26OZph|Hr4JYe54eMw7QiGNLQJSCQ==,credentials_20260926_101101.csv,"CREDENTIALS, FINANCIAL_PIN",,REDACTED,REDACTED,,,,True,3,HYBRID_AES_RSA
6,u40qIWz3ej0MnCv5etIUeGH8a5UBgSnFZYFUuIIG/Mw30Q07qoanpa3+gu4serDnUmhubxm0GpI7r4lgMiEhLu+M/jZI619RMtk14JRLQI7iDXuIGojb3yQUiJh/lWcpte6lCQsbkOXuXtSuJG8iyy6g+Z/8bPE2wJdb5w6iZchqwpgHGfa3ZNZk8tOvzl7OWoe2Gv0t3Tfh32XlLApGbGgMjHzmxyyi4L7clNA9ZEbN+t1SpLaGya2WdGk3goafv3GoczOuv7POzZ3TKTuz2THoooxlq+5G0ou655FKmy9P8oyqrT5k20zN4v3PNdvn/ErIIqNM46x55sidbufBXA==|dBhAlZhZLSYOYkGMS2e/ZA==|do+ihCNt5jOsCqK8fo2ap3CBww==|XDnERdX+9XZYZGXFacn+RQ==,q6ejdBY2gA0ZOZk1kSvxeQsPS+5kRYYYV22OVlTdME/8fBfoXeSX4JekN8qXqXg12LmZnWxhU5e/G/j5MbItJQ670XaRy6XGQihs+1nldBlqzHWqOd4fPyF/chHW2w8Vq/p4DEDMnUxyl6fsS5TlzCLsVWVt0Pm3PcyEloDBJxszM8/+3DSmPmLHRb7hBbleAODcrh9ekx9JZI4ovRgcV0xiB1k5TXUb6BtyD4XgHX7Vfi3z6Hjp9r45T4oiPWP7SJnhk6NsQJNryed+uA5YSrC4Bj0HB9yjdzJ7OzoJyzJrpoSy0sNigoBxhFkEx5Zo5Cf6L0NttCqlXJup69/KCg==|OW/4tHPzqv51NiVEtqI5wA==|XAmxL2zd|8AebMwUp33zxLAmfeFx/rg==,credentials_20260926_101101.csv,"CREDENTIALS, FINANCIAL_PIN",,REDACTED,REDACTED,,,,True,3,HYBRID_AES_RSA
7,cwOrU6kXnC190QhOk7F40Boutc7nmlmmO4gLX1ViQWBieUbB1Bse/cxKmYDlmz8KA+VWbodrlLL4jtdsFngqR/ypGbO5HwAXDALOnFiGfH6MrGU5j/sOBBfxJPhEilC4+puGqa/IKID0QvRgtllOdixNTJmIthfmG/Lp0pvvyODQNy4Wpw0AD2t/9BFOs+X1Qya1WWmiUeF6dPc+96+Dbn8G1rJEqexpjVeFJDuwWoKGe4a8AgFhMHfmRQ4KXRVaVRaEGiORisqPA4WtIGJwqaWTMNNF6GzjZTDvDKdRLvhzlfPUKL+Xl4Zw+ZL88H6Qcm6bVOexJxAQpCK0jf/eqQ==|QhtFFIRM1jKpT6AMpN4ehw==|wq3bI6op6QJsZBD/dKA4IZk=|jBbcRDWsExghiFkTA8g5tw==,lxPj6VCJti94ZWFkb789TwcKFDWlIhs20JBWhzYhp002ZcJL58LMWnSRfjTHxJBiaXmWQSmVnDVYu6QMma/CpHw3S33rEX0yxE+wcd9fcP8dJdA5eelli847QjQEy7s9UKyBhPsICQb3FNI6UaNf3HctsQFw1d5BZhBdaopWEWUu1DlLRY4LAuRnyPCtfAcJaqMv0f2yDGhiZtbiwQX9GMvCAuc3Vlv9uxmJPdz2ofWLSlYEc3iJLaOwMcZAxFMyVuSkdtsv057cB3UYQj1sEM3Lh/lPuatAFg3KVo3HNDH7C9DJOczbMKE4Nb9QeB39Ahrzyd1+SRTF5y6LYhBpwA==|EDDR6F4iFfOf3W//Qleegg==|uw2J8Q==|HhEgqL1k+miHV2pwuS7FvQ==,credentials_20260926_101101.csv,"CREDENTIALS, FINANCIAL_PIN",,REDACTED,REDACTED,,,,True,3,HYBRID_AES_RSA
8,PrYB4nHEQc9nN+lMDZSu2a0OsmP589xwBxBmXAA6g8cl+6zIYeljzpXKrwnRgfpQBL0BlVwKDZSIWhv7O0sWsVVcO8JwHzpcnA7XuNWEnGzEYy4pM0FpedbulpQiegH7GVjX+leGWtvGGygrawyie/R0gMC/RfUQHkgsb4lv4jZ6/l2O7CGTOPaEuXf3JW7RHhW4G3QOrsSK1KnPevrlqNrECaUkWklbFR8WdHwJx9oHk/HG938HvknQDFkBRbyOVyRI98lwPa+QdDew1yMIsOWdezNCBG896ZaajKV89S0N0EVdIl1d1ZeHSc9iSVKBfXS1YknhARb6XESn+6B7KA==|AfzlpcUFFpGW0jblusGYwg==|WYpmdu20gW49oOLpjgIu7Q4NMQ==|S/deQX8qBOpoGsqZ7IviMA==,fVL6yx09dhNUPQ2D5uUEixun7AG3MHjHxgUNx4kTP96khbSnhloSzL7ZXRMmI3lPwWtTYB79F2zRv3lOgkh0ykxxNVGFRpMQFLiEiKxbksmrh0gMbeHWd4BjE+GhRr4BaKuQQY+gMpF13szV8H2CIFV7Jgfgm3Fn/M7o1gHG+GRIPXi6rxreXYiqrVnrZs95cp8jYixVYbJtHYGHtkNPU/LmEe0WGSky0jgu+qbz/0ihnrs7Vpg0hHgK7kq/Qch2PyyimA2olt7DiJc/9OW4m/5EkPbcXnSMOJpIdJzywwPUkDGD2krSljuxo7IhFvycDiWmaC8QV5MiOoZIjrkbZQ==|dhHWG/WO81Coey2BuSJ/cg==|506kJRxD|cDWgDqyqr/evz+rHpFHUuw==,credentials_20260926_101101.csv,"CREDENTIALS, FINANCIAL_PIN",,REDACTED,REDACTED,,,,True,3,HYBRID_AES_RSA
9,h4xS4YY9n8LNKqwi/ilF030pEKwBS9CB4/3UYeHyIDNNbToTt/M366drOD/CdmdzIXuu6mI1zYmnctS8nww0x1886iKyJAx8ceMrzaJq7VwNr5hKkZabKdpkc1AauCJ4cLSpYVODLh78PzLDFkOxTitezQNSbzy78nxebgtHGZMhgM8C16HNsEktd1CToBJ9uEQwXfhW5LmfU16CTs4+VZDRg81gcDcKq11MsEjl1z1ZP5qOJD/g5hvdQxLCpxIBcpIBbMq+IHT9Uz38vN8UcKDvauPtw6RPqIX2z6dX+z6nqmvgu95IMjh53YGy4Gvic2RO7olIvhsho7AwYhclWg==|jpwRB9DQrIMosxxPSfcKew==|xyS2kP/6FJ7VUho9NoI2GMtw+w==|C/MEXEI0PgPNRtg32rW4ww==,Gdj/1t8I+OWu3siUDd+oyIzrYDLvzLpP4WW/qcJPHgTcYnezWviWX0bOv6x0oJxWBnt7B3Nf+6dts6NG6lt3fGi6E4SiGhVD+kRx1Qd/y9lvhZERhhfaWp8k3kbITsDLNeA2s4QztfbBS9u8VdskC29dJ8egyj+aOSFOT9GTMQEMeG8mJzuaOq3AjD8gtD/pesuBvWKF2iw18yWTRz9vtQjbDG++Wv+YHLC4Ir2VjKiaSXfs7wYjCkVNLMgcEVFdz3F+a9sS1HWhk9qjOlWshfu9opLdO+xru0Ao9+Nq1HQTAozurSdO3i8iBXI2sHi+tgky/yVZPEJZQDhJFr4ElA==|op/qYtzjKLjlL3IR5xxuXA==|drNF/oII|2lX3AbKmVKH85nLTSA766Q==,credentials_20260926_101101.csv,"CREDENTIALS, FINANCIAL_PIN",,REDACTED,REDACTED,,,,True,3,HYBRID_AES_RSA
10,JhQlsSONsnwKW1K5K3KEdaH2ggsbcaZLllmB6TbJACZNNgCedd+BuLqMRir2i9y9g1hrJ+KMA229k+PCX34yc3XR7xGOfivhiG1G0+A/lNPdb9SmUeF1nuoSNDN7eiYIt3mdpuW+VHMwhLm+9FDNuNhWfTnpMGfVSxwqHsC1MWnO6idxdIb6tmBQm5zUxmFgFQSMWrKDl4tw7peJj/MZrRtvKvse63a/i5CBSKOSVOKBwDT9z0fnyezpyx1OLzw5OsNQ3MvQdeGyPNwZBYXNSxtxtVWVr/TuSqsTNYRvM7gwcPMa+PwnWJYWZIDsHa/ae0UbUGy36tCt1aS3IueJGQ==|OXxfe/C2LlVcp4AopG5bNw==|gfrjUsAOxjlFrJqvyh5LBCkV|uiE0Hidn8rvD4afKg8R6rQ==,f1QL/Uhmbz2YVn6P89NRSjcuOe3IFTAdhjKTcgpYm9lQ+bfSjnMermJ0yhZFKTscWnwXtFf0zTCR+rZ3J0Hh7oyRPJ3gNUWj1bAUcfBkFQD7iFFnWCfSglEWbFj9pX435VTrRK6jpFKxgE69fPBtFhjDtITQuoiaGJuYE6BMTCxyLGm2ndIrw++AEQF9eQLvvlyaSdIEK6QxElm6JjnzB3KwcPVCIZ74cXcWKPrhYv9crf0RtDLSPfBtMeZWEDsQYx7bihYWRzN85GIPFswXnIiUtqC7qxom9tl8186N3X/chUDEINhzHw68BkzmL+Jq9HKCsX4V+Rjtx90iWB8Ltw==|R150BG5BA88fh3P75KcLYQ==|mxt/NMs=|Dj5jzvCBLZH5Qf0JbjNsLw==,credentials_20260926_101101.csv,"CREDENTIALS, FINANCIAL_PIN",,REDACTED,REDACTED,,,,True,3,HYBRID_AES_RSA
