Ma_giao_dich,Ngay,Gio,Loai_giao_dich,Nguoi_gui,Nguoi_nhan,Ngan_hang,So_tien_VND,So_du_sau_GD,Ghi_chu,Trang_thai
GD202601020012,02/01/2026,14:32:48,Rut tien ATM,Le Thi Lan,Tran Van Minh,Techcombank,-7352439,57097002,Tien luong thang 3646,Thanh cong
GD202601060011,06/01/2026,09:43:56,Mua sam online,Le Thi Lan,Le Thi Lan,BIDV,6497473,64449441,Thanh toan tien dien nuoc,Dang xu ly
GD202601300023,30/01/2026,22:05:54,Rut tien ATM,Nguyen Thi Huong,Le Thi Lan,ACB,-5041516,70578850,Thanh toan don hang #5033,Thanh cong
GD202602050014,05/02/2026,10:08:42,Nhan luong,Vu Thi Mai,Vu Thi Mai,Techcombank,12273456,71429129,Mua hang Shopee/Tiki,Thanh cong
GD202602110024,11/02/2026,19:42:37,Mua sam online,Le Thi Lan,Le Thi Lan,BIDV,7890884,78469734,Chuyen tien sinh hoat phi,Dang xu ly
GD202602170002,17/02/2026,12:14:32,Mua sam online,Tran Van Minh,Vu Thi Mai,Techcombank,-4758064,39021408,Thanh toan tien dien nuoc,Thanh cong
GD202602200020,20/02/2026,07:41:34,Chuyen tien lien ngan hang,Tran Van Minh,Le Thi Lan,ACB,-832344,79670155,Thanh toan tien dien nuoc,Thanh cong
GD202602260010,26/02/2026,10:40:10,Chuyen tien lien ngan hang,Nguyen Thi Huong,Nguyen Thi Huong,ACB,5053041,57951968,Mua hang Shopee/Tiki,Thanh cong
GD202602270001,27/02/2026,06:47:17,Rut tien ATM,Nguyen Thi Huong,Tran Van Minh,MB Bank,-1220528,43779472,Thanh toan tien dien nuoc,Thanh cong
GD202603090025,09/03/2026,15:29:20,Chuyen tien lien ngan hang,Pham Duc Anh,Nguyen Thi Huong,Vietcombank,-128143,78341591,Mua hang Shopee/Tiki,Thanh cong
GD202603090026,09/03/2026,17:56:04,Rut tien ATM,Tran Van Minh,Tran Van Minh,MB Bank,2440647,80782238,Chuyen tien cho ban,Thanh cong
GD202603230003,23/03/2026,19:21:17,Rut tien ATM,Le Thi Lan,Nguyen Thi Huong,Vietcombank,-6454652,32566756,Thanh toan tien dien nuoc,Thanh cong
GD202603250006,25/03/2026,17:22:13,Nap tien dien thoai,Nguyen Thi Huong,Nguyen Thi Huong,MB Bank,5937295,43771601,Chuyen tien cho ban,Thanh cong
GD202604080022,08/04/2026,15:13:03,Mua sam online,Le Thi Lan,Nguyen Thi Huong,Vietcombank,-6324473,75620366,Mua hang Shopee/Tiki,Thanh cong
GD202604090005,09/04/2026,08:02:42,Rut tien ATM,Tran Van Minh,Tran Van Minh,ACB,719343,37834306,Tien luong thang 8428,Thanh cong
GD202604150028,15/04/2026,14:32:31,Thanh toan hoa don,Pham Duc Anh,Le Thi Lan,Vietcombank,-824255,72444532,Thanh toan don hang #6464,Thanh cong
GD202604230016,23/04/2026,06:04:45,Nap tien dien thoai,Nguyen Thi Huong,Tran Van Minh,BIDV,-1970502,70523683,Thanh toan don hang #9423,Thanh cong
GD202605070009,07/05/2026,14:47:37,Nhan luong,Tran Van Minh,Tran Van Minh,MB Bank,13086646,52898927,Thanh toan tien dien nuoc,Thanh cong
GD202605080019,08/05/2026,12:12:34,Nhan luong,Tran Van Minh,Tran Van Minh,ACB,13588999,80502499,Chuyen tien sinh hoat phi,Dang xu ly
GD202605150029,15/05/2026,11:47:28,Mua sam online,Nguyen Thi Huong,Nguyen Thi Huong,Vietcombank,4755227,77199759,Chuyen tien cho ban,Thanh cong
GD202605230017,23/05/2026,21:13:34,Rut tien ATM,Pham Duc Anh,Pham Duc Anh,Techcombank,2088408,72612091,Thanh toan don hang #2588,Dang xu ly
GD202606030027,03/06/2026,09:56:08,Thanh toan hoa don,Nguyen Thi Huong,Le Thi Lan,BIDV,-7513451,73268787,Tien luong thang 4450,Thanh cong
GD202606150013,15/06/2026,21:01:07,Thanh toan hoa don,Nguyen Thi Huong,Nguyen Thi Huong,MB Bank,2058671,59155673,Thanh toan don hang #2403,Dang xu ly
GD202606260004,26/06/2026,14:51:02,Nap tien dien thoai,Nguyen Thi Huong,Nguyen Thi Huong,Vietcombank,4548207,37114963,Mua hang Shopee/Tiki,Thanh cong
GD202607010018,01/07/2026,19:26:29,Chuyen tien lien ngan hang,Nguyen Thi Huong,Tran Van Minh,ACB,-5698591,66913500,Chuyen tien cho ban,Thanh cong
GD202607090030,09/07/2026,10:27:08,Chuyen khoan,Nguyen Thi Huong,Nguyen Thi Huong,Techcombank,3108918,80308677,Chuyen tien cho ban,Thanh cong
GD202607240015,24/07/2026,17:28:57,Mua sam online,Tran Van Minh,Tran Van Minh,Vietcombank,1065056,72494185,Tien luong thang 1344,Thanh cong
GD202607250021,25/07/2026,07:10:24,Chuyen khoan,Pham Duc Anh,Pham Duc Anh,ACB,2274684,81944839,Chuyen tien cho ban,Thanh cong
GD202607250008,25/07/2026,14:04:13,Mua sam online,Pham Duc Anh,Pham Duc Anh,ACB,1833640,39812281,Chuyen tien sinh hoat phi,Thanh cong
GD202608250007,25/08/2026,18:17:59,Nap tien dien thoai,Le Thi Lan,Nguyen Thi Huong,Techcombank,-5792960,37978641,Nap tien Momo/ZaloPay,Thanh cong
