stt,mat_khau,ma_pin,source_file,data_type,username,password_raw,pin_raw,salt,password_hash,pin_encrypted,is_secure
1,b9Gu<]$f}Lg#1r}h,278867,credentials_20260926_101101.csv,CSV_RAW,None,None,None,None,None,None,None
2,AK)qmRb~UPV3]G1r{(,4908,credentials_20260926_101101.csv,CSV_RAW,None,None,None,None,None,None,None
3,{:$tLx2jpIU7(%V7j,3108,credentials_20260926_101101.csv,CSV_RAW,None,None,None,None,None,None,None
4,LOeb7;4w7LcxUOdz7T<,326358,credentials_20260926_101101.csv,CSV_RAW,None,None,None,None,None,None,None
5,MbAhDQ}LKK?#~)]fXV,596593,credentials_20260926_101101.csv,CSV_RAW,None,None,None,None,None,None,None
6,MON<YdIA6>yM7vp9%4p,116820,credentials_20260926_101101.csv,CSV_RAW,None,None,None,None,None,None,None
7,yJU;ExUY4Dx+[?*gi,4457,credentials_20260926_101101.csv,CSV_RAW,None,None,None,None,None,None,None
8,j/}>oPEc%gb7*:{X5X0,972591,credentials_20260926_101101.csv,CSV_RAW,None,None,None,None,None,None,None
9,WiqUDE7m3s9UCTnKw^p,178359,credentials_20260926_101101.csv,CSV_RAW,None,None,None,None,None,None,None
10,YQLxC}qU6pMqE=cDP[,63691,credentials_20260926_101101.csv,CSV_RAW,None,None,None,None,None,None,None
