stt,ten,gioi_tinh,ngay_sinh,noi_sinh,cccd,sdt,email,dia_chi_nha,the_tin_dung,source_file,data_type,username,password_raw,pin_raw,salt,password_hash,pin_encrypted,is_secure
1,Vũ Tùng,Nam,1998-08-06,Thành phố Hà Nội,1098409954,826532457,ale@gmail.com,"Số 108, Đường Giải Phóng, Phường Lăng Cô, Thành phố Hà Nội",60473371957,fake_pii_20260925_214952.csv,CSV_RAW,None,None,None,None,None,None,None
2,Hoàng Ngọc,Nữ,1985-07-14,Tỉnh Tuyên Quang,8185665020,822542694,ale@gmail.com,"Số 229, Đường Hoàng Hoa Thám, Phường Bến Nghé, Tỉnh Tuyên Quang",3580421383965910,fake_pii_20260925_214952.csv,CSV_RAW,None,None,None,None,None,None,None
3,Nguyễn Vân,Nữ,1993-03-19,Tỉnh An Giang,91193275572,946612426,nguyenjohn@gmail.com,"Số 170, Đường Giải Phóng, Phường Bến Nghé, Tỉnh An Giang",676334912091,fake_pii_20260925_214952.csv,CSV_RAW,None,None,None,None,None,None,None
4,Phạm Hương,Nữ,2005-12-25,Tỉnh Đồng Nai,75305396697,970956983,jane06@gmail.com,"Số 236, Đường Giải Phóng, Phường Tân Định, Tỉnh Đồng Nai",3542521007591914,fake_pii_20260925_214952.csv,CSV_RAW,None,None,None,None,None,None,None
5,Hoàng Khoa,Nam,1986-01-26,Thành phố Huế,46086881599,566285334,zle@gmail.com,"Số 1, Đường Cầu Giấy, Phường An Khánh, Thành phố Huế",30139902330851,fake_pii_20260925_214952.csv,CSV_RAW,None,None,None,None,None,None,None
6,Trần Tú,Nam,1964-09-01,Thành phố Hà Nội,1064904399,787893671,jane70@gmail.com,"Số 38, Đường Cầu Giấy, Phường Tân Định, Thành phố Hà Nội",4869177582892004,fake_pii_20260925_214952.csv,CSV_RAW,None,None,None,None,None,None,None
7,Đặng Hương,Nữ,1986-10-14,Tỉnh An Giang,91186281960,962915586,phamjohn@gmail.com,"Số 108, Đường Hoàng Hoa Thám, Phường Bách Khoa, Tỉnh An Giang",4817100247071653710,fake_pii_20260925_214952.csv,CSV_RAW,None,None,None,None,None,None,None
8,Nguyễn Thành,Nam,1980-05-04,Thành phố Hồ Chí Minh,79080927646,569535884,zbui@gmail.com,"Số 167, Đường Hoàng Hoa Thám, Phường Bách Khoa, Thành phố Hồ Chí Minh",4086226117816066,fake_pii_20260925_214952.csv,CSV_RAW,None,None,None,None,None,None,None
9,Hoàng Phúc,Nam,2006-09-07,Tỉnh Quảng Ngãi,51206021628,354286995,jmai@gmail.com,"Số 2, Đường Trần Hưng Đạo, Phường Bến Nghé, Tỉnh Quảng Ngãi",6527787362027081,fake_pii_20260925_214952.csv,CSV_RAW,None,None,None,None,None,None,None
10,Nguyễn Duyên,Nữ,1999-11-01,Tỉnh Cao Bằng,4199676095,944039011,john12@gmail.com,"Số 145, Đường Giải Phóng, Phường Thạch Thang, Tỉnh Cao Bằng",4750421003903293,fake_pii_20260925_214952.csv,CSV_RAW,None,None,None,None,None,None,None
